start,fillOpen,fillClose,fillHigh,fillLow,oracleOpen,oracleClose,oracleHigh,oracleLow,quoteVolume,baseVolume,resolution
1709596800000,133.537200,126.819200,142.526700,109.916150,133.104880,125.600010,142.636765,113.683852,90894189.603195,691236.100000000,D
1709683200000,126.819200,131.843300,136.077000,121.338500,125.600010,130.620000,134.930881,120.222509,46865309.883896,358534.200000000,D
1709769600000,131.843300,144.887800,149.969100,131.297600,130.620000,144.073300,149.350984,130.620000,105393905.946548,737555.400000000,D
1709856000000,144.887800,145.693000,153.609000,142.381060,144.073300,145.064056,152.862499,142.117875,84958503.450482,575813.000000000,D
1709942400000,145.693000,146.204300,157.423400,137.423500,145.064056,144.550590,149.416127,143.749371,53237286.636350,361623.100000000,D
1710028800000,146.204300,144.871200,149.565200,140.819734,144.550590,144.512979,148.705234,140.633923,58220574.281970,399174.500000000,D
1710115200000,144.871200,149.309800,150.862880,136.640240,144.512979,148.876150,150.153602,137.210277,111700223.971684,766333.600000000,D
1710201600000,149.309800,151.371900,155.180800,142.140300,148.876150,151.048408,154.997751,141.976582,95222845.131830,634092.500000000,D
1710288000000,151.371900,164.205300,166.807700,148.540500,151.048408,163.969647,166.723164,148.823333,102751874.943723,651862.000000000,D
1710374400000,164.205300,176.255600,178.521513,159.000000,163.969647,176.546268,178.298361,160.009580,157017654.282741,930450.100000000,D
1710460800000,176.255600,183.484000,189.295747,164.494200,176.546268,183.545499,188.828224,164.700100,224330630.271253,1258328.200000000,D
1710547200000,183.484000,182.182000,198.009900,176.280100,183.545499,181.893839,197.833053,177.173723,158937166.270010,850971.900000000,D
1710633600000,182.182000,201.622000,204.665750,178.415308,181.893839,201.726367,204.417740,178.640006,164205530.705425,856534.900000000,D
1710720000000,201.622000,196.161835,210.185505,194.282600,201.726367,195.809155,209.924000,194.191431,147073887.630297,730327.000000000,D
1710806400000,196.161835,170.290900,199.136180,162.884800,195.809155,170.171475,198.512730,166.059957,258372980.861437,1430138.900000000,D
1710892800000,170.290900,191.639400,193.401200,157.464600,170.171475,191.945001,193.159660,163.111625,220951891.494518,1251430.500000000,D
1710979200000,191.639400,179.853900,196.069700,175.111300,191.945001,179.476490,195.571410,176.035375,176169330.497985,944690.700000000,D
1711065600000,179.853900,174.235345,182.583000,155.900000,179.476490,174.947250,181.701404,167.912466,149870135.164736,864743.300000000,D
1711152000000,174.235345,173.600000,179.627980,170.327600,174.947250,172.687315,178.884283,170.467888,129325916.472965,736609.500000000,D
1711238400000,173.600000,183.987100,187.433148,171.120800,172.687315,183.700808,186.618018,171.431506,158966341.434370,897957.500000000,D
1711324800000,183.987100,189.136000,195.690000,181.088070,183.700808,188.941497,194.441560,181.053445,98715827.222080,522001.600000000,D
1711411200000,189.136000,191.036100,197.011700,186.514600,188.941497,190.535001,196.497251,186.390000,79634321.610505,413531.300000000,D
1711497600000,191.036100,186.704800,195.018100,179.954800,190.535001,186.198809,192.608983,180.321350,75040689.044933,401166.500000000,D
1711584000000,186.704800,190.316700,191.902900,181.270700,186.198809,189.734233,190.915494,180.937639,54532375.993000,291435.200000000,D
1711670400000,190.316700,192.497000,193.656846,183.401700,189.734233,192.209722,193.031311,183.521175,48120383.300195,254834.900000000,D
1711756800000,192.497000,195.554200,200.209860,191.028848,192.209722,194.306320,199.959820,191.009532,70995631.117298,361162.700000000,D
1711843200000,195.554200,203.573300,204.887300,193.998400,194.306320,202.542462,203.263060,193.828199,46213694.931271,232690.200000000,D
1711929600000,203.573300,193.890200,205.837600,187.052400,202.542462,192.343407,204.275520,187.152660,63063732.388460,320305.600000000,D
1712016000000,193.890200,181.894900,193.907000,176.075700,192.343407,181.462353,192.343407,176.200227,79533886.866388,436048.500000000,D
1712102400000,181.894900,185.489000,208.867900,176.791295,181.462353,185.225035,191.882108,177.164314,61706608.545642,328212.700000000,D
1712188800000,185.489000,184.800700,191.370100,179.883700,185.225035,184.009450,190.163826,180.311181,43628645.988263,235055.900000000,D
1712275200000,184.800700,174.606000,185.629900,168.096600,184.009450,174.202079,185.092400,168.291540,48609126.007234,277245.000000000,D
1712361600000,174.606000,179.262100,180.730600,173.676261,174.202079,178.745342,179.750203,173.659199,23067591.252985,130160.600000000,D
1712448000000,179.262100,180.394000,183.315600,176.773700,178.745342,179.523971,182.657525,176.975917,31646766.228511,174851.900000000,D
1712534400000,180.394000,181.538400,184.766600,175.773600,179.523971,180.686250,184.476199,175.476989,36388480.275684,201111.600000000,D
1712620800000,181.538400,172.579500,181.914000,169.400600,180.686250,172.376463,180.751633,169.280150,60261250.653019,343488.200000000,D
1712707200000,172.579500,173.300000,175.978000,163.214700,172.376463,173.373001,175.462224,163.459505,93217688.817066,549366.300000000,D
1712793600000,173.300000,172.502700,176.951700,170.127900,173.373001,172.385369,176.329499,170.191750,61544094.822619,354789.200000000,D
1712880000000,172.502700,153.524000,176.398700,142.628046,172.385369,153.328665,175.920000,148.251500,120745343.446223,759284.400000000,D
1712966400000,153.524000,137.837400,155.431900,113.063600,153.328665,138.297366,154.925025,115.346000,177504407.511051,1259263.700000000,D
1713052800000,137.837400,151.437469,152.987000,128.829711,138.297366,151.498312,152.589130,130.695887,165898168.738529,1174699.800000000,D
1713139200000,151.437469,138.591430,156.360700,132.779180,151.498312,138.539570,155.935000,133.994555,147670133.745372,1015422.400000000,D
1713225600000,138.591430,136.379000,140.658450,125.938400,138.539570,136.267324,140.360220,126.617974,177396199.175238,1323560.200000000,D
1713312000000,136.379000,132.085601,143.700000,123.815300,136.267324,131.844515,142.612162,127.157285,218024970.088891,1611560.900000000,D
1713398400000,132.085601,142.200800,144.070400,127.017100,131.844515,142.071250,143.753245,127.854424,126887116.645320,938273.700000000,D
1713484800000,142.200800,142.540105,147.491578,127.698489,142.071250,142.362396,147.436388,128.610250,99188457.199859,702500.300000000,D
1713571200000,142.540105,151.182600,152.464400,138.415100,142.362396,151.215089,152.271656,140.095001,41976794.816122,287671.900000000,D
1713657600000,151.182600,148.904500,153.868300,146.316500,151.215089,148.812390,153.391870,146.795025,44439543.695913,296255.000000000,D
1713744000000,148.904500,157.047600,158.500000,146.966133,148.812390,157.022340,158.433614,146.837099,47113945.799781,307951.300000000,D
1713830400000,157.047600,154.913000,160.053844,153.116400,157.022340,154.733000,159.985439,153.218626,48627082.488434,310411.000000000,D
1713916800000,154.913000,147.842400,159.933900,145.615300,154.733000,147.630812,159.627156,145.642637,63268985.177301,411121.900000000,D
1714003200000,147.842400,144.828300,154.584800,141.767310,147.630812,144.844027,149.440941,142.265249,58358682.688916,398946.500000000,D
1714089600000,144.828300,139.090900,146.427000,138.729800,144.844027,139.127027,146.020955,138.823963,32492041.079412,227230.800000000,D
1714176000000,139.090900,141.452700,143.319920,133.647500,139.127027,141.318236,142.955001,134.030342,51200723.209012,372369.900000000,D
1714262400000,141.452700,137.860900,144.791757,136.925950,141.318236,137.895584,144.617388,137.135832,20453721.769174,144380.900000000,D
1714348800000,137.860900,137.884400,139.108400,133.591100,137.895584,137.665001,138.865000,133.550610,44667618.839203,328820.500000000,D
1714435200000,137.884400,126.747800,139.899000,120.961800,137.665001,126.689463,139.688425,121.292176,124434846.860465,966169.200000000,D
1714521600000,126.747800,134.509700,136.199730,118.934800,126.689463,134.536502,135.793333,118.990224,164682254.815633,1302619.000000000,D
1714608000000,134.509700,137.726800,140.958400,128.246500,134.536502,137.629166,140.599806,128.240030,79326879.866621,586854.700000000,D
1714694400000,137.726800,143.607600,145.254146,136.075600,137.629166,143.667661,144.972500,136.045844,69874747.652609,496024.200000000,D
1714780800000,143.607600,146.186600,149.148477,142.420700,143.667661,146.068880,149.050000,142.364769,39906546.739643,273088.600000000,D
1714867200000,146.186600,145.939600,148.099700,143.342800,146.068880,145.676924,147.960499,143.268611,36307054.204518,248984.600000000,D
1714953600000,145.939600,152.962800,156.858873,145.510000,145.676924,152.823570,156.800107,145.487004,78909177.718007,518103.500000000,D
1715040000000,152.962800,148.124900,159.179411,147.990000,152.823570,148.045000,159.118844,148.011258,79080890.608947,512554.600000000,D
1715126400000,148.124900,142.357000,150.241400,140.222200,148.045000,142.165000,149.878506,140.019700,59918441.219675,410559.000000000,D
1715212800000,142.357000,152.358800,153.258000,140.911400,142.165000,152.650250,153.186925,140.697688,54796363.115860,372580.600000000,D
1715299200000,152.358800,146.048200,155.477800,144.401500,152.650250,146.044439,155.623941,144.602300,56168407.997160,375793.200000000,D
1715385600000,146.048200,145.395200,147.750100,143.139900,146.044439,145.328972,147.606900,143.272895,19446055.337373,133706.800000000,D
1715472000000,145.395200,143.402300,147.805200,142.503400,145.328972,143.439791,147.613947,142.773380,9737502.716675,67161.800000000,D
1715558400000,143.402300,147.827000,150.748000,138.055000,143.439791,147.527874,150.552350,137.907576,63690491.521331,441822.300000000,D
1715644800000,147.827000,142.270640,149.143400,141.901800,147.527874,142.002066,148.993918,141.845103,46550944.709188,321322.800000000,D
1715731200000,142.270640,158.441400,158.876700,141.345378,142.002066,158.522825,158.744355,141.325599,68718216.608613,454753.200000000,D
1715817600000,158.441400,159.317400,164.860700,155.907500,158.522825,159.239285,164.554386,156.806055,38829580.144098,241980.300000000,D
1715904000000,159.317400,169.612200,172.326500,159.317400,159.239285,169.475239,171.925001,159.239285,51504399.776610,311542.900000000,D
1715990400000,169.612200,172.474800,176.045631,168.968436,169.475239,172.532045,175.979750,168.721704,28787992.905702,166686.400000000,D
1716076800000,172.474800,170.218100,175.436600,166.779600,172.532045,169.952595,175.327100,166.505001,50997699.855187,299522.300000000,D
1716163200000,170.218100,186.850900,197.434000,167.672838,169.952595,186.642271,187.832228,167.710000,117084975.993619,659858.700000000,D
1716249600000,186.850900,178.500200,189.077350,174.393600,186.642271,178.189635,188.759459,174.445001,78392106.536501,434545.300000000,D
1716336000000,178.500200,177.167355,184.044200,175.136300,178.189635,176.914769,183.370899,175.105500,68080494.798723,378650.800000000,D
1716422400000,177.167355,176.179600,181.575500,165.762100,176.914769,176.175003,180.790683,167.385001,104024735.140313,595663.200000000,D
1716508800000,176.179600,167.982400,176.179600,162.711000,176.175003,167.714338,176.175003,162.825034,52551696.873485,312807.700000000,D
1716595200000,167.982400,168.453300,170.562600,165.999587,167.714338,168.425001,170.382799,166.005000,28115193.020380,167014.000000000,D
1716681600000,168.453300,163.300908,168.453300,161.111614,168.425001,163.362036,168.425001,161.185001,29936933.420069,182362.500000000,D
1716768000000,163.300908,170.055000,172.506800,163.300908,163.362036,170.031945,172.225014,163.362036,38375920.568287,227874.600000000,D
1716854400000,170.055000,168.793600,173.375400,164.500000,170.031945,168.735003,173.191384,164.951350,61203136.262719,363008.600000000,D
1716940800000,168.793600,168.254700,173.620800,167.250000,168.735003,168.191542,173.835001,167.225001,58115844.477444,342458.000000000,D
1717027200000,168.254700,167.080800,172.503382,163.416700,168.191542,166.978106,172.425001,163.576260,39155032.880466,233372.800000000,D
1717113600000,167.080800,165.596700,171.145100,163.715900,166.978106,165.544945,170.822500,163.920351,32021061.174633,191999.000000000,D
1717200000000,165.596700,166.190530,168.035700,165.591200,165.544945,166.086870,167.768844,165.510000,12087186.430086,72393.300000000,D
1717286400000,166.190530,163.298300,179.999000,161.394800,166.086870,163.250000,167.002830,161.456840,20432727.083250,124451.400000000,D
1717372800000,163.298300,164.970620,167.425200,161.706600,163.250000,164.880579,167.210128,161.726200,38680844.311715,234470.400000000,D
1717459200000,164.970620,171.940400,179.500000,164.480800,164.880579,171.803436,171.868900,164.415001,29871485.117125,178100.300000000,D
1717545600000,171.940400,173.620000,175.907500,171.183400,171.803436,173.528970,175.547650,171.232140,26469164.989447,152566.400000000,D
1717632000000,173.620000,170.075800,174.551300,167.434100,173.528970,170.187046,174.373499,167.838751,32712018.118428,190634.400000000,D
1717718400000,170.075800,162.551400,173.504101,155.775000,170.187046,162.509994,172.610003,158.242664,51843463.927991,310143.900000000,D
1717804800000,162.551400,157.766000,163.836896,157.142100,162.509994,157.755001,163.695919,157.403505,28769532.923694,179114.500000000,D
1717891200000,157.766000,162.254000,163.133500,156.204100,157.755001,162.143446,162.985001,156.573423,26560062.303199,165971.700000000,D
1717977600000,162.254000,159.032300,163.470000,157.670200,162.143446,159.003200,163.160939,157.535001,39562663.558135,246593.700000000,D
1718064000000,159.032300,149.335400,159.653200,145.166400,159.003200,149.334192,159.594891,145.553315,102026482.642881,671665.400000000,D
1718150400000,149.335400,155.157500,161.774400,145.468100,149.334192,155.227712,161.772997,145.531080,118546244.692756,765344.000000000,D
1718236800000,155.157500,147.186300,155.157500,145.847800,155.227712,147.200000,155.227712,146.041700,88372836.510707,589592.900000000,D
1718323200000,147.186300,143.000000,148.940900,139.620300,147.200000,142.984813,148.885005,139.932987,126740798.320194,879975.400000000,D
1718409600000,143.000000,145.447000,145.661769,142.935800,142.984813,145.417500,145.655005,142.920730,36985732.702684,256016.800000000,D
1718496000000,145.447000,151.272500,151.365982,143.077700,145.417500,151.200150,151.200150,143.082505,44206431.679395,299350.700000000,D
1718582400000,151.272500,143.261810,151.953820,139.800000,151.200150,143.370779,151.657754,140.318645,108938555.504618,752429.300000000,D
1718668800000,143.261810,137.465100,143.699910,130.398100,143.370779,137.481082,143.763959,130.520408,245596752.108772,1809517.200000000,D
1718755200000,137.465100,135.611900,142.024300,134.496700,137.481082,135.584999,141.780899,134.605001,118341785.349412,856923.500000000,D
1718841600000,135.611900,133.547100,141.340100,131.844000,135.584999,133.531400,141.147507,131.967999,156658289.057994,1158127.200000000,D
1718928000000,133.547100,134.586800,135.388400,128.628200,133.531400,134.489450,135.266785,128.679399,157833245.364454,1194401.000000000,D
1719014400000,134.586800,133.672200,136.716300,133.052766,134.489450,133.689354,136.582004,133.059852,37548222.310909,278922.000000000,D
1719100800000,133.672200,128.551300,135.168600,127.972900,133.689354,128.588601,135.017950,128.167786,65972381.959220,503515.200000000,D
1719187200000,128.551300,132.339200,132.780322,123.238400,128.588601,132.136537,132.523050,123.432943,288908609.158744,2268751.800000000,D
1719273600000,132.339200,136.476100,139.990500,131.229900,132.136537,136.549936,139.831953,131.258591,113727496.673499,834404.900000000,D
1719360000000,136.476100,136.786920,140.437800,134.740900,136.549936,136.735764,140.332803,134.865000,76964529.008426,560953.800000000,D
1719446400000,136.786920,149.601745,151.594800,135.000000,136.735764,149.545468,151.145001,135.187456,135422528.668670,933238.300000000,D
1719532800000,149.601745,139.770000,150.594700,138.864100,149.545468,139.743393,150.408476,138.916267,134581385.662269,936557.300000000,D
1719619200000,139.770000,140.127600,143.001400,139.589300,139.743393,140.044934,142.981999,139.537609,25060155.431202,177269.900000000,D
1719705600000,140.127600,146.481300,147.476900,136.954700,140.044934,146.410034,147.346830,137.062015,58818443.612206,414077.300000000,D
1719792000000,146.481300,146.653700,149.085593,145.766200,146.410034,146.554691,149.032700,145.785363,89044606.510789,603668.300000000,D
1719878400000,146.653700,153.735200,154.896200,146.102049,146.554691,153.724862,154.892004,146.037561,83304327.268377,555790.500000000,D
1719964800000,153.735200,140.582800,154.305886,139.143400,153.724862,140.587403,154.248167,139.338548,138760054.208372,963071.200000000,D
1720051200000,140.582800,127.742900,142.678200,127.136300,140.587403,127.802785,142.596180,127.368528,206908270.910534,1539283.600000000,D
1720137600000,127.742900,134.271400,136.347200,121.250000,127.802785,134.311715,136.076093,121.923334,126138458.868817,976399.600000000,D
1720224000000,134.271400,143.144000,144.179800,132.203400,134.311715,143.160000,144.078496,132.414049,35306312.405867,254117.300000000,D
1720310400000,143.144000,131.456800,145.107500,131.137400,143.160000,131.509013,143.334617,131.292465,53087170.304248,385660.600000000,D
1720396800000,131.456800,139.723700,141.831700,127.763100,131.509013,139.744038,141.778999,128.136062,235363844.397865,1721260.700000000,D
1720483200000,139.723700,141.340000,144.116000,136.260245,139.744038,141.344499,144.068982,136.510766,84395653.821811,598860.800000000,D
1720569600000,141.340000,141.851600,145.977000,138.780400,141.344499,142.039463,146.074235,138.636787,68245690.906203,480279.600000000,D
1720656000000,141.851600,135.834100,145.859900,135.591000,142.039463,135.812099,145.728966,135.745150,54029233.130537,384376.300000000,D
1720742400000,135.834100,139.464000,140.659200,133.506270,135.812099,139.516594,140.580145,134.103403,36049055.833956,263322.700000000,D
1720828800000,139.464000,142.065800,143.887600,137.966600,139.516594,141.972999,143.541526,138.008200,31929381.835700,227885.000000000,D
1720915200000,142.065800,147.742300,148.690300,142.055600,141.972999,147.676307,148.562300,141.972999,37565897.760196,258622.900000000,D
1721001600000,147.742300,159.490000,160.068200,147.093500,147.676307,159.499689,160.029450,147.140500,58791168.042109,381947.200000000,D
1721088000000,159.490000,160.853500,162.764500,152.580600,159.499689,160.649878,162.517540,152.793235,73946953.632415,466740.000000000,D
1721174400000,160.853500,155.531885,164.000000,154.401000,160.649878,155.473720,163.743252,154.762244,37522250.345699,235317.400000000,D
1721260800000,155.531885,158.958300,161.818200,155.249800,155.473720,159.168888,161.556100,155.324395,28478028.408957,179989.100000000,D
1721347200000,158.958300,169.069200,171.638000,156.230000,159.168888,169.199932,171.537847,156.390873,73699336.983207,446967.500000000,D
1721433600000,169.069200,173.583200,175.134041,167.340000,169.199932,173.655992,175.029136,167.416475,41776465.929660,244402.800000000,D
1721520000000,173.583200,184.458100,184.924800,170.950100,173.655992,184.602243,184.996580,170.825556,86098044.865552,486203.000000000,D
1721606400000,184.458100,178.980900,184.870000,176.050000,184.602243,178.913962,184.872616,176.823841,70555388.385241,391620.400000000,D
1721692800000,178.980900,173.094200,180.484700,170.790700,178.913962,173.023991,180.448558,170.781418,103613130.146852,591511.400000000,D
1721779200000,173.094200,177.905700,182.558200,170.918700,173.023991,178.032740,182.376046,171.075128,101645150.518653,573971.200000000,D
1721865600000,177.905700,171.940000,179.462800,165.434900,178.032740,171.927479,179.559999,165.715480,168028046.749327,985411.900000000,D
1721952000000,171.940000,183.069000,183.723500,171.802200,171.927479,183.041396,183.540020,171.710000,95757191.872291,533739.600000000,D
1722038400000,183.069000,183.819400,188.259976,178.070352,183.041396,183.747362,188.214405,178.182227,169633633.339391,926165.400000000,D
1722124800000,183.819400,185.032500,186.895890,181.183200,183.747362,184.820384,186.560027,181.190095,104668284.685184,567654.400000000,D
1722211200000,185.032500,182.356700,193.920000,181.732100,184.820384,182.770364,193.874421,181.607265,147363612.130857,784890.400000000,D
1722297600000,182.356700,179.461800,184.366600,176.229400,182.770364,179.076428,184.718685,175.556815,194977249.592907,1080597.300000000,D
1722384000000,179.461800,171.806000,184.617600,171.715100,179.076428,171.714237,184.359004,171.622265,73522984.914210,410781.600000000,D
1722470400000,171.806000,167.629900,173.024700,157.810690,171.714237,167.370850,172.852172,157.872693,167017735.439693,1007193.200000000,D
1722556800000,167.629900,152.762800,169.443900,149.883700,167.370850,152.717009,169.077815,149.921193,158425285.405529,1009237.800000000,D
1722643200000,152.762800,142.496400,153.929700,139.962300,152.717009,142.356703,153.790551,140.048952,93843453.596054,638555.900000000,D
1722729600000,142.496400,138.006100,146.274100,131.345600,142.356703,138.183246,145.894226,131.437188,100014014.908489,724424.800000000,D
1722816000000,138.006100,130.062400,139.228100,105.120000,138.183246,129.682067,139.177723,110.097950,631635085.239278,5082510.300000000,D
1722902400000,130.062400,144.476375,149.719800,129.502000,129.682067,144.420585,149.387216,129.672002,256023042.874061,1814138.900000000,D
1722988800000,144.476375,144.569800,155.059900,142.211600,144.420585,144.485005,155.016623,142.401344,263161455.189233,1779294.100000000,D
1723075200000,144.569800,162.762600,163.500000,141.250000,144.485005,163.026078,163.552489,141.466757,239487771.612847,1538637.700000000,D
1723161600000,162.762600,156.174000,163.439600,150.704600,163.026078,156.161466,163.550600,150.859731,102066161.927007,656172.300000000,D
